latitude,longitude,scan,track,confidence,version,instrument,acq_datetime
59.14314,37.85056,0.57,0.52,n,2.0NRT,VIIRS,2025-04-19 00:56:00
59.14729,37.85547,0.57,0.52,n,2.0NRT,VIIRS,2025-04-19 00:56:00
59.14852,37.83313,0.57,0.52,n,2.0NRT,VIIRS,2025-04-19 00:56:00
59.14875,37.86906,0.57,0.52,n,2.0NRT,VIIRS,2025-04-19 00:56:00
59.5308,34.14601,0.43,0.46,n,2.0NRT,VIIRS,2025-04-19 00:56:00
59.53116,34.14438,0.43,0.46,n,2.0NRT,VIIRS,2025-04-19 00:56:00
64.64566,24.42899,0.39,0.36,n,2.0NRT,VIIRS,2025-04-19 00:56:00
64.66199,21.28215,0.42,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
64.66534,21.28446,0.42,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.55254,22.25248,0.41,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.55587,22.25496,0.41,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.56365,22.22253,0.41,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.56476,22.21382,0.41,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.75815,24.52776,0.39,0.36,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.76443,24.18001,0.4,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.76765,24.18271,0.4,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
65.7697,24.19373,0.4,0.37,n,2.0NRT,VIIRS,2025-04-19 00:56:00
51.13733,37.92988,0.57,0.69,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.13775,37.93133,0.57,0.69,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.14254,36.21091,0.5,0.65,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.14479,36.20443,0.5,0.65,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.14577,36.20714,0.5,0.65,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.25829,37.76783,0.56,0.69,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.63565,40.5272,0.68,0.74,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.63676,40.52329,0.68,0.74,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.65546,40.22712,0.66,0.73,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.98767,40.11882,0.64,0.72,n,2.0NRT,VIIRS,2025-04-19 00:58:00
51.99339,40.12475,0.64,0.72,n,2.0NRT,VIIRS,2025-04-19 00:58:00
52.33197,32.35859,0.32,0.55,n,2.0NRT,VIIRS,2025-04-19 00:58:00
52.55615,39.5696,0.58,0.7,n,2.0NRT,VIIRS,2025-04-19 00:58:00
52.84677,29.99257,0.51,0.49,n,2.0NRT,VIIRS,2025-04-19 00:58:00
52.84787,29.99159,0.51,0.49,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.35211,32.10228,0.59,0.53,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.44401,34.41862,0.35,0.57,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.44455,34.41631,0.35,0.57,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.6392,36.12604,0.4,0.6,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.65015,38.823,0.5,0.66,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.68325,35.23363,0.37,0.58,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.68488,35.22861,0.37,0.58,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.8052,33.26463,0.63,0.54,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.84592,32.95541,0.61,0.53,n,2.0NRT,VIIRS,2025-04-19 00:58:00
53.9471,32.71565,0.59,0.53,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.02031,37.87346,0.45,0.63,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.0491,38.02643,0.45,0.63,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.04914,38.02344,0.45,0.63,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.05118,38.02047,0.45,0.63,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.1373,36.35953,0.39,0.59,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.1693,37.71811,0.44,0.62,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.17569,31.80743,0.54,0.51,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.17783,31.79979,0.54,0.51,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.21238,38.92152,0.48,0.64,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.52951,31.45405,0.51,0.49,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.5541,35.2852,0.35,0.56,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.55563,35.28034,0.35,0.56,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.5696,22.1782,0.41,0.37,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.61538,33.57226,0.6,0.53,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.61979,33.57621,0.6,0.53,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.70135,31.94447,0.52,0.5,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.7262,29.96858,0.45,0.47,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.72712,33.04223,0.57,0.52,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.73181,29.96533,0.45,0.47,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.79769,32.36786,0.54,0.51,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.82096,31.17217,0.49,0.48,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.82507,31.17548,0.49,0.48,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.8326,29.55748,0.43,0.46,n,2.0NRT,VIIRS,2025-04-19 00:58:00
54.83733,31.18553,0.49,0.48,n,2.0NRT,VIIRS,2025-04-19 00:58:00
