latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
59.14314,37.85056,295.68,0.57,0.52,2025-04-19,56,N,VIIRS,n,2.0NRT,283.15,2.16,N
59.14729,37.85547,301.16,0.57,0.52,2025-04-19,56,N,VIIRS,n,2.0NRT,283.88,2.16,N
59.14852,37.83313,312.48,0.57,0.52,2025-04-19,56,N,VIIRS,n,2.0NRT,283.1,2.64,N
59.14875,37.86906,312.46,0.57,0.52,2025-04-19,56,N,VIIRS,n,2.0NRT,283.93,3.32,N
59.5308,34.14601,310.43,0.43,0.46,2025-04-19,56,N,VIIRS,n,2.0NRT,280.78,1.97,N
59.53116,34.14438,308.12,0.43,0.46,2025-04-19,56,N,VIIRS,n,2.0NRT,279.91,1.13,N
64.64566,24.42899,326.58,0.39,0.36,2025-04-19,56,N,VIIRS,n,2.0NRT,276.36,2.44,N
64.66199,21.28215,305.91,0.42,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,274.61,1.6,N
64.66534,21.28446,320.66,0.42,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,277.42,1.6,N
65.55254,22.25248,333.67,0.41,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,272.96,4.7,N
65.55587,22.25496,315.94,0.41,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,272.93,1.43,N
65.56365,22.22253,335.01,0.41,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,277.47,4.45,N
65.56476,22.21382,315.4,0.41,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,276.35,2.45,N
65.75815,24.52776,302.01,0.39,0.36,2025-04-19,56,N,VIIRS,n,2.0NRT,274.1,0.9,N
65.76443,24.18001,302.95,0.4,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,272.25,1.4,N
65.76765,24.18271,299.27,0.4,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,273.09,1.4,N
65.7697,24.19373,322.68,0.4,0.37,2025-04-19,56,N,VIIRS,n,2.0NRT,273.62,2.27,N
51.13733,37.92988,319.65,0.57,0.69,2025-04-19,58,N,VIIRS,n,2.0NRT,277.26,2.27,N
51.13775,37.93133,319.85,0.57,0.69,2025-04-19,58,N,VIIRS,n,2.0NRT,277.7,2.01,N
51.14254,36.21091,311.69,0.5,0.65,2025-04-19,58,N,VIIRS,n,2.0NRT,276.19,1.74,N
51.14479,36.20443,301.64,0.5,0.65,2025-04-19,58,N,VIIRS,n,2.0NRT,276.32,2.4,N
51.14577,36.20714,324.32,0.5,0.65,2025-04-19,58,N,VIIRS,n,2.0NRT,276.85,2.75,N
51.25829,37.76783,297.88,0.56,0.69,2025-04-19,58,N,VIIRS,n,2.0NRT,280.8,1.19,N
51.63565,40.5272,300.87,0.68,0.74,2025-04-19,58,N,VIIRS,n,2.0NRT,277.25,1.39,N
51.63676,40.52329,297.57,0.68,0.74,2025-04-19,58,N,VIIRS,n,2.0NRT,275.87,1.39,N
51.65546,40.22712,298.88,0.66,0.73,2025-04-19,58,N,VIIRS,n,2.0NRT,279.33,0.57,N
51.98767,40.11882,297.07,0.64,0.72,2025-04-19,58,N,VIIRS,n,2.0NRT,272.88,0.98,N
51.99339,40.12475,299.24,0.64,0.72,2025-04-19,58,N,VIIRS,n,2.0NRT,273.81,1.01,N
52.33197,32.35859,297.08,0.32,0.55,2025-04-19,58,N,VIIRS,n,2.0NRT,271.45,0.6,N
52.55615,39.5696,328.12,0.58,0.7,2025-04-19,58,N,VIIRS,n,2.0NRT,262.32,2.62,N
52.84677,29.99257,337,0.51,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,281.36,5.41,N
52.84787,29.99159,329.53,0.51,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,281.68,3.3,N
53.35211,32.10228,300,0.59,0.53,2025-04-19,58,N,VIIRS,n,2.0NRT,279.43,0.85,N
53.44401,34.41862,323.95,0.35,0.57,2025-04-19,58,N,VIIRS,n,2.0NRT,284.78,2.47,N
53.44455,34.41631,314.32,0.35,0.57,2025-04-19,58,N,VIIRS,n,2.0NRT,283.32,2.04,N
53.6392,36.12604,312.95,0.4,0.6,2025-04-19,58,N,VIIRS,n,2.0NRT,277.81,1.14,N
53.65015,38.823,295.49,0.5,0.66,2025-04-19,58,N,VIIRS,n,2.0NRT,279.11,0.54,N
53.68325,35.23363,296.84,0.37,0.58,2025-04-19,58,N,VIIRS,n,2.0NRT,273.3,0.55,N
53.68488,35.22861,295.15,0.37,0.58,2025-04-19,58,N,VIIRS,n,2.0NRT,275.68,0.55,N
53.8052,33.26463,296.21,0.63,0.54,2025-04-19,58,N,VIIRS,n,2.0NRT,277.39,0.83,N
53.84592,32.95541,297.97,0.61,0.53,2025-04-19,58,N,VIIRS,n,2.0NRT,280.53,1.35,N
53.9471,32.71565,296.71,0.59,0.53,2025-04-19,58,N,VIIRS,n,2.0NRT,279.9,1.71,N
54.02031,37.87346,300.12,0.45,0.63,2025-04-19,58,N,VIIRS,n,2.0NRT,279.28,0.62,N
54.0491,38.02643,299.91,0.45,0.63,2025-04-19,58,N,VIIRS,n,2.0NRT,280.49,1.14,N
54.04914,38.02344,298.45,0.45,0.63,2025-04-19,58,N,VIIRS,n,2.0NRT,280.54,1.52,N
54.05118,38.02047,296.13,0.45,0.63,2025-04-19,58,N,VIIRS,n,2.0NRT,280.14,1.34,N
54.1373,36.35953,295.71,0.39,0.59,2025-04-19,58,N,VIIRS,n,2.0NRT,277.46,0.57,N
54.1693,37.71811,296.11,0.44,0.62,2025-04-19,58,N,VIIRS,n,2.0NRT,279.75,0.84,N
54.17569,31.80743,296.46,0.54,0.51,2025-04-19,58,N,VIIRS,n,2.0NRT,278.89,1.17,N
54.17783,31.79979,297.08,0.54,0.51,2025-04-19,58,N,VIIRS,n,2.0NRT,279.3,1.58,N
54.21238,38.92152,296.17,0.48,0.64,2025-04-19,58,N,VIIRS,n,2.0NRT,278.53,1.37,N
54.52951,31.45405,295.06,0.51,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,280.35,0.88,N
54.5541,35.2852,302.82,0.35,0.56,2025-04-19,58,N,VIIRS,n,2.0NRT,277.51,0.43,N
54.55563,35.28034,308.64,0.35,0.56,2025-04-19,58,N,VIIRS,n,2.0NRT,278.84,1.38,N
54.5696,22.1782,302.43,0.41,0.37,2025-04-19,58,N,VIIRS,n,2.0NRT,283.25,1.01,N
54.61538,33.57226,299.38,0.6,0.53,2025-04-19,58,N,VIIRS,n,2.0NRT,279.66,1.4,N
54.61979,33.57621,303.37,0.6,0.53,2025-04-19,58,N,VIIRS,n,2.0NRT,279.82,1.26,N
54.70135,31.94447,303.47,0.52,0.5,2025-04-19,58,N,VIIRS,n,2.0NRT,280.68,1.03,N
54.7262,29.96858,295.56,0.45,0.47,2025-04-19,58,N,VIIRS,n,2.0NRT,280.51,0.8,N
54.72712,33.04223,296.36,0.57,0.52,2025-04-19,58,N,VIIRS,n,2.0NRT,280.74,0.77,N
54.73181,29.96533,297.03,0.45,0.47,2025-04-19,58,N,VIIRS,n,2.0NRT,281.06,0.8,N
54.79769,32.36786,304.08,0.54,0.51,2025-04-19,58,N,VIIRS,n,2.0NRT,278.67,1.12,N
54.82096,31.17217,295.34,0.49,0.48,2025-04-19,58,N,VIIRS,n,2.0NRT,276.78,1.06,N
54.82507,31.17548,300.46,0.49,0.48,2025-04-19,58,N,VIIRS,n,2.0NRT,277.71,0.89,N
54.8326,29.55748,296.04,0.43,0.46,2025-04-19,58,N,VIIRS,n,2.0NRT,281.94,0.54,N
54.83733,31.18553,303.31,0.49,0.48,2025-04-19,58,N,VIIRS,n,2.0NRT,277.66,1.24,N
54.86321,30.9598,307.63,0.48,0.48,2025-04-19,58,N,VIIRS,n,2.0NRT,277.4,0.91,N
54.8678,31.47097,309.44,0.5,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,280.64,0.88,N
54.87011,33.34886,295.44,0.58,0.52,2025-04-19,58,N,VIIRS,n,2.0NRT,279.89,0.29,N
54.87066,33.32836,317.38,0.58,0.52,2025-04-19,58,N,VIIRS,n,2.0NRT,281.66,3.3,N
54.91499,31.35257,295.04,0.49,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,279.69,1.04,N
54.91924,31.36267,303.38,0.49,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,279.45,1.37,N
54.92126,31.36646,311.11,0.49,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,279.32,1.29,N
54.92334,31.36604,299.23,0.49,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,278.76,1.37,N
54.92537,31.36983,308.66,0.49,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,279.38,1.29,N
54.93155,31.37275,302.21,0.49,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,279.98,2.01,N
54.93357,31.37657,300.73,0.49,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,280.04,1.39,N
54.99615,32.10138,314.07,0.52,0.5,2025-04-19,58,N,VIIRS,n,2.0NRT,280.17,1.71,N
55.03118,31.93916,299.99,0.51,0.49,2025-04-19,58,N,VIIRS,n,2.0NRT,282.42,0.85,N
55.28617,32.35325,299.75,0.52,0.5,2025-04-19,58,N,VIIRS,n,2.0NRT,277.53,0.58,N
55.32608,41.74406,305.22,0.53,0.67,2025-04-19,58,N,VIIRS,n,2.0NRT,280.26,1.27,N
55.32912,41.74153,301.06,0.53,0.67,2025-04-19,58,N,VIIRS,n,2.0NRT,280.32,1.32,N
55.44156,42.14302,305.67,0.54,0.68,2025-04-19,58,N,VIIRS,n,2.0NRT,279.07,1.48,N
55.4453,42.14106,299.13,0.54,0.68,2025-04-19,58,N,VIIRS,n,2.0NRT,277.78,1.59,N
55.46301,42.14748,303.86,0.54,0.68,2025-04-19,58,N,VIIRS,n,2.0NRT,278.38,0.75,N
55.52771,31.33015,297.08,0.47,0.48,2025-04-19,58,N,VIIRS,n,2.0NRT,279.94,0.83,N
55.52919,31.3247,296.17,0.47,0.48,2025-04-19,58,N,VIIRS,n,2.0NRT,279.67,0.55,N
55.93275,30.0525,296.33,0.41,0.45,2025-04-19,58,N,VIIRS,n,2.0NRT,279.42,0.59,N
56.08923,44.17385,310.91,0.59,0.7,2025-04-19,58,N,VIIRS,n,2.0NRT,279.24,2.46,N
56.24794,30.48884,298.19,0.42,0.45,2025-04-19,58,N,VIIRS,n,2.0NRT,280.96,1.02,N
56.24955,30.48253,310.98,0.42,0.45,2025-04-19,58,N,VIIRS,n,2.0NRT,281.43,1.02,N
56.25556,30.26923,335.65,0.41,0.45,2025-04-19,58,N,VIIRS,n,2.0NRT,283.29,2.94,N
56.25937,30.27238,310.86,0.41,0.45,2025-04-19,58,N,VIIRS,n,2.0NRT,282.59,1.5,N
56.29169,30.51748,311.1,0.42,0.45,2025-04-19,58,N,VIIRS,n,2.0NRT,282.16,1.22,N
